cod_istat,denominazione,latitudine,longitudine,latlon
017001,Acquafredda,"45°18'29""88 N","10°24'56""52 E","45,3083; 10,4157"
017002,Adro,"45°37'7""68 N","09°57'49""32 E","45,6188; 9,9637"
017003,Agnosine,"45°39'2""16 N","10°21'13""32 E","45,6506; 10,3537"
017004,Alfianello,"45°16'4""44 N","10°8'57""12 E","45,2679; 10,1492"
017005,Anfo,"45°46'2""28 N","10°29'41""28 E","45,7673; 10,4948"
017006,Angolo Terme,"45°53'32""28 N","10°8'55""68 E","45,8923; 10,1488"
017007,Artogne,"45°51'2""88 N","10°9'43""20 E","45,8508; 10,162"
017008,Azzano Mella,"45°27'19""80 N","10°7'5""52 E","45,4555; 10,1182"
017009,Bagnolo Mella,"45°25'48""00 N","10°11'7""44 E","45,43; 10,1854"
017010,Bagolino,"45°49'33""96 N","10°27'37""80 E","45,8261; 10,4605"
017011,Barbariga,"45°24'21""60 N","10°3'19""44 E","45,406; 10,0554"
017012,Barghe,"45°40'58""08 N","10°24'47""52 E","45,6828; 10,4132"
017013,Bassano Bresciano,"45°19'41""16 N","10°7'45""84 E","45,3281; 10,1294"
017014,Bedizzole,"45°30'40""68 N","10°25'27""48 E","45,5113; 10,4243"
017015,Berlingo,"45°30'14""04 N","10°2'40""92 E","45,5039; 10,0447"
017016,Berzo Demo,"46°5'38""76 N","10°20'4""56 E","46,0941; 10,3346"
017017,Berzo Inferiore,"45°55'54""84 N","10°16'50""52 E","45,9319; 10,2807"
017018,Bienno,"45°56'12""12 N","10°17'39""84 E","45,9367; 10,2944"
017019,Bione,"45°40'25""32 N","10°20'23""64 E","45,6737; 10,3399"
017020,Borgo San Giacomo,"45°20'52""44 N","09°58'10""20 E","45,3479; 9,9695"
017021,Borgosatollo,"45°28'54""12 N","10°14'31""56 E","45,4817; 10,2421"
017022,Borno,"45°56'46""68 N","10°11'56""04 E","45,9463; 10,1989"
017023,Botticino,"45°32'12""84 N","10°18'10""44 E","45,5369; 10,3029"
017024,Bovegno,"45°47'39""12 N","10°16'29""64 E","45,7942; 10,2749"
017025,Bovezzo,"45°35'32""64 N","10°14'32""28 E","45,5924; 10,2423"
017026,Brandico,"45°27'18""36 N","10°3'13""32 E","45,4551; 10,0537"
017027,Braone,"45°59'30""12 N","10°20'36""96 E","45,9917; 10,3436"
017028,Breno,"45°57'31""32 N","10°18'20""88 E","45,9587; 10,3058"
017029,Brescia,"45°31'32""52 N","10°13'41""88 E","45,5257; 10,2283"
017030,Brione,"45°38'35""52 N","10°8'58""20 E","45,6432; 10,1495"
017031,Caino,"45°36'37""08 N","10°18'51""12 E","45,6103; 10,3142"
017032,Calcinato,"45°27'29""16 N","10°24'52""56 E","45,4581; 10,4146"
017033,Calvagese della Riviera,"45°32'3""48 N","10°26'33""72 E","45,5343; 10,4427"
017034,Calvisano,"45°20'56""76 N","10°20'45""60 E","45,3491; 10,346"
017035,Capo di Ponte,"46°1'54""84 N","10°20'48""84 E","46,0319; 10,3469"
017036,Capovalle,"45°45'15""48 N","10°32'43""80 E","45,7543; 10,5455"
017037,Capriano del Colle,"45°28'32""52 N","10°7'59""88 E","45,4757; 10,1333"
017038,Capriolo,"45°38'10""32 N","09°56'0""24 E","45,6362; 9,9334"
017039,Carpenedolo,"45°21'55""44 N","10°25'56""28 E","45,3654; 10,4323"
017040,Castegnato,"45°33'39""96 N","10°6'54""00 E","45,5611; 10,115"
017041,Castelcovati,"45°30'10""44 N","09°56'49""20 E","45,5029; 9,947"
017042,Castel Mella,"45°30'29""88 N","10°8'51""72 E","45,5083; 10,1477"
017043,Castenedolo,"45°28'13""44 N","10°17'48""12 E","45,4704; 10,2967"
017044,Casto,"45°41'44""88 N","10°19'19""92 E","45,6958; 10,3222"
017045,Castrezzato,"45°30'43""92 N","09°58'54""84 E","45,5122; 9,9819"
017046,Cazzago San Martino,"45°35'40""92 N","10°2'34""44 E","45,5947; 10,0429"
017047,Cedegolo,"46°4'39""36 N","10°21'2""16 E","46,0776; 10,3506"
017048,Cellatica,"45°34'58""44 N","10°10'52""32 E","45,5829; 10,1812"
017049,Cerveno,"46°0'12""60 N","10°19'36""48 E","46,0035; 10,3268"
017050,Ceto,"46°0'12""60 N","10°21'10""80 E","46,0035; 10,353"
017051,Cevo,"46°4'56""28 N","10°22'10""56 E","46,0823; 10,3696"
017052,Chiari,"45°32'12""48 N","09°55'53""04 E","45,5368; 9,9314"
017053,Cigole,"45°18'34""56 N","10°11'25""44 E","45,3096; 10,1904"
017054,Cimbergo,"46°1'30""00 N","10°22'0""12 E","46,025; 10,3667"
017055,Cividate Camuno,"45°56'36""24 N","10°16'42""60 E","45,9434; 10,2785"
017056,Coccaglio,"45°33'55""80 N","09°58'31""08 E","45,5655; 9,9753"
017057,Collebeato,"45°34'55""56 N","10°12'40""32 E","45,5821; 10,2112"
017058,Collio,"45°48'38""52 N","10°20'7""08 E","45,8107; 10,3353"
017059,Cologne,"45°34'56""28 N","09°56'32""64 E","45,5823; 9,9424"
017060,Comezzano-Cizzago,"45°28'19""92 N","09°57'3""96 E","45,4722; 9,9511"
017061,Concesio,"45°36'21""96 N","10°13'4""80 E","45,6061; 10,218"
017062,Corte Franca,"45°37'51""24 N","09°59'22""20 E","45,6309; 9,9895"
017063,Corteno Golgi,"46°10'1""56 N","10°14'40""20 E","46,1671; 10,2445"
017064,Corzano,"45°26'40""92 N","10°0'30""24 E","45,4447; 10,0084"
017065,Darfo Boario Terme,"45°53'40""92 N","10°11'12""12 E","45,8947; 10,1867"
017066,Dello,"45°25'16""32 N","10°4'42""60 E","45,4212; 10,0785"
017067,Desenzano del Garda,"45°28'8""04 N","10°32'6""00 E","45,4689; 10,535"
017068,Edolo,"46°10'44""76 N","10°19'48""72 E","46,1791; 10,3302"
017069,Erbusco,"45°35'58""56 N","09°58'22""44 E","45,5996; 9,9729"
017070,Esine,"45°55'35""76 N","10°15'6""84 E","45,9266; 10,2519"
017071,Fiesse,"45°13'56""64 N","10°19'30""72 E","45,2324; 10,3252"
017072,Flero,"45°29'0""60 N","10°10'28""20 E","45,4835; 10,1745"
017073,Gambara,"45°15'22""32 N","10°17'40""20 E","45,2562; 10,2945"
017074,Gardone Riviera,"45°37'33""24 N","10°33'58""68 E","45,6259; 10,5663"
017075,Gardone Val Trompia,"45°41'42""36 N","10°11'16""80 E","45,6951; 10,188"
017076,Gargnano,"45°41'24""00 N","10°39'42""84 E","45,69; 10,6619"
017077,Gavardo,"45°35'25""08 N","10°26'36""96 E","45,5903; 10,4436"
017078,Ghedi,"45°24'7""20 N","10°16'49""08 E","45,402; 10,2803"
017079,Gianico,"45°51'59""40 N","10°10'33""24 E","45,8665; 10,1759"
017080,Gottolengo,"45°17'34""08 N","10°16'24""24 E","45,2928; 10,2734"
017081,Gussago,"45°35'4""20 N","10°9'29""52 E","45,5845; 10,1582"
017082,Idro,"45°44'13""20 N","10°28'27""84 E","45,737; 10,4744"
017083,Incudine,"46°13'16""32 N","10°21'35""28 E","46,2212; 10,3598"
017084,Irma,"45°46'19""92 N","10°17'8""16 E","45,7722; 10,2856"
017085,Iseo,"45°39'27""72 N","10°3'13""68 E","45,6577; 10,0538"
017086,Isorella,"45°18'33""12 N","10°19'23""88 E","45,3092; 10,3233"
017087,Lavenone,"45°44'26""16 N","10°26'24""36 E","45,7406; 10,4401"
017088,Leno,"45°22'24""24 N","10°13'3""36 E","45,3734; 10,2176"
017089,Limone sul Garda,"45°48'30""24 N","10°47'15""72 E","45,8084; 10,7877"
017090,Lodrino,"45°43'14""16 N","10°16'43""32 E","45,7206; 10,2787"
017091,Lograto,"45°29'6""72 N","10°3'15""48 E","45,4852; 10,0543"
017092,Lonato del Garda,"45°27'56""52 N","10°28'29""64 E","45,4657; 10,4749"
017093,Longhena,"45°26'18""96 N","10°3'38""52 E","45,4386; 10,0607"
017094,Losine,"45°59'3""84 N","10°19'1""92 E","45,9844; 10,3172"
017095,Lozio,"45°59'11""76 N","10°15'43""20 E","45,9866; 10,262"
017096,Lumezzane,"45°38'55""68 N","10°15'57""24 E","45,6488; 10,2659"
017097,Maclodio,"45°28'43""32 N","10°2'35""52 E","45,4787; 10,0432"
017098,Magasa,"45°46'56""28 N","10°37'1""20 E","45,7823; 10,617"
017099,Mairano,"45°27'0""36 N","10°4'50""16 E","45,4501; 10,0806"
017100,Malegno,"45°57'6""12 N","10°16'30""36 E","45,9517; 10,2751"
017101,Malonno,"46°7'30""00 N","10°19'18""12 E","46,125; 10,3217"
017102,Manerba del Garda,"45°32'52""80 N","10°33'31""68 E","45,548; 10,5588"
017103,Manerbio,"45°21'24""12 N","10°8'10""32 E","45,3567; 10,1362"
017104,Marcheno,"45°42'18""72 N","10°12'48""60 E","45,7052; 10,2135"
017105,Marmentino,"45°45'21""24 N","10°17'8""52 E","45,7559; 10,2857"
017106,Marone,"45°44'13""20 N","10°5'41""28 E","45,737; 10,0948"
017107,Mazzano,"45°30'8""28 N","10°21'38""52 E","45,5023; 10,3607"
017108,Milzano,"45°16'28""20 N","10°12'1""08 E","45,2745; 10,2003"
017109,Moniga del Garda,"45°31'37""92 N","10°32'20""76 E","45,5272; 10,5391"
017110,Monno,"46°12'48""96 N","10°20'26""88 E","46,2136; 10,3408"
017111,Monte Isola,"45°43'1""56 N","10°4'51""24 E","45,7171; 10,0809"
017112,Monticelli Brusati,"45°38'8""52 N","10°6'4""68 E","45,6357; 10,1013"
017113,Montichiari,"45°24'57""96 N","10°23'30""12 E","45,4161; 10,3917"
017114,Montirone,"45°26'50""28 N","10°13'47""28 E","45,4473; 10,2298"
017115,Mura,"45°42'51""12 N","10°20'37""32 E","45,7142; 10,3437"
017116,Muscoline,"45°33'48""24 N","10°27'46""44 E","45,5634; 10,4629"
017117,Nave,"45°35'18""24 N","10°17'27""60 E","45,5884; 10,291"
017118,Niardo,"45°58'36""84 N","10°20'3""48 E","45,9769; 10,3343"
017119,Nuvolento,"45°32'48""12 N","10°23'16""08 E","45,5467; 10,3878"
017120,Nuvolera,"45°31'59""16 N","10°22'12""72 E","45,5331; 10,3702"
017121,Odolo,"45°38'45""96 N","10°23'4""56 E","45,6461; 10,3846"
017122,Offlaga,"45°23'13""56 N","10°6'59""40 E","45,3871; 10,1165"
017123,Ome,"45°37'41""52 N","10°7'20""64 E","45,6282; 10,1224"
017124,Ono San Pietro,"46°1'4""08 N","10°19'45""84 E","46,0178; 10,3294"
017125,Orzinuovi,"45°24'17""64 N","09°55'21""36 E","45,4049; 9,9226"
017126,Orzivecchi,"45°25'17""40 N","09°57'51""48 E","45,4215; 9,9643"
017127,Ospitaletto,"45°33'17""64 N","10°4'50""52 E","45,5549; 10,0807"
017128,Ossimo,"45°56'49""56 N","10°13'53""76 E","45,9471; 10,2316"
017129,Padenghe sul Garda,"45°30'37""80 N","10°30'26""64 E","45,5105; 10,5074"
017130,Paderno Franciacorta,"45°35'19""68 N","10°4'51""96 E","45,5888; 10,0811"
017131,Paisco Loveno,"46°4'48""00 N","10°17'36""96 E","46,08; 10,2936"
017132,Paitone,"45°33'10""80 N","10°24'11""88 E","45,553; 10,4033"
017133,Palazzolo sull'Oglio,"45°36'16""56 N","09°53'53""52 E","45,6046; 9,8982"
017134,Paratico,"45°39'28""08 N","09°57'38""16 E","45,6578; 9,9606"
017135,Paspardo,"46°1'54""84 N","10°22'19""20 E","46,0319; 10,372"
017136,Passirano,"45°35'58""56 N","10°4'3""72 E","45,5996; 10,0677"
017137,Pavone del Mella,"45°18'16""92 N","10°12'36""36 E","45,3047; 10,2101"
017138,San Paolo,"45°22'17""40 N","10°1'40""08 E","45,3715; 10,0278"
017139,Pertica Alta,"45°44'35""88 N","10°20'42""72 E","45,7433; 10,3452"
017140,Pertica Bassa,"45°45'15""48 N","10°22'24""60 E","45,7543; 10,3735"
017141,Pezzaze,"45°46'37""92 N","10°14'13""20 E","45,7772; 10,237"
017142,Pian Camuno,"45°50'41""28 N","10°9'7""56 E","45,8448; 10,1521"
017143,Pisogne,"45°48'39""60 N","10°6'29""88 E","45,811; 10,1083"
017144,Polaveno,"45°39'44""64 N","10°7'30""00 E","45,6624; 10,125"
017145,Polpenazze del Garda,"45°33'7""56 N","10°30'21""24 E","45,5521; 10,5059"
017146,Pompiano,"45°25'58""44 N","09°59'25""08 E","45,4329; 9,9903"
017147,Poncarale,"45°27'42""84 N","10°10'40""08 E","45,4619; 10,1778"
017148,Ponte di Legno,"46°15'34""20 N","10°30'34""92 E","46,2595; 10,5097"
017149,Pontevico,"45°16'31""08 N","10°5'36""60 E","45,2753; 10,0935"
017150,Pontoglio,"45°34'13""08 N","09°51'16""20 E","45,5703; 9,8545"
017151,Pozzolengo,"45°24'25""92 N","10°38'2""40 E","45,4072; 10,634"
017152,Pralboino,"45°15'59""40 N","10°13'6""96 E","45,2665; 10,2186"
017153,Preseglie,"45°40'9""12 N","10°23'52""08 E","45,6692; 10,3978"
017155,Prevalle,"45°33'8""28 N","10°25'23""16 E","45,5523; 10,4231"
017156,Provaglio d'Iseo,"45°38'10""68 N","10°2'44""52 E","45,6363; 10,0457"
017157,Provaglio Val Sabbia,"45°41'22""92 N","10°26'6""00 E","45,6897; 10,435"
017158,Puegnago sul Garda,"45°34'3""72 N","10°30'38""88 E","45,5677; 10,5108"
017159,Quinzano d'Oglio,"45°18'42""48 N","10°0'34""56 E","45,3118; 10,0096"
017160,Remedello,"45°16'45""48 N","10°22'22""80 E","45,2793; 10,373"
017161,Rezzato,"45°30'54""36 N","10°19'3""72 E","45,5151; 10,3177"
017162,Roccafranca,"45°27'55""08 N","09°54'55""80 E","45,4653; 9,9155"
017163,Rodengo Saiano,"45°36'1""80 N","10°6'29""52 E","45,6005; 10,1082"
017164,Roè Volciano,"45°36'46""44 N","10°29'22""56 E","45,6129; 10,4896"
017165,Roncadelle,"45°31'41""16 N","10°9'18""36 E","45,5281; 10,1551"
017166,Rovato,"45°34'0""12 N","10°0'3""96 E","45,5667; 10,0011"
017167,Rudiano,"45°29'22""20 N","09°53'17""16 E","45,4895; 9,8881"
017168,Sabbio Chiese,"45°39'34""20 N","10°25'17""76 E","45,6595; 10,4216"
017169,Sale Marasino,"45°42'15""12 N","10°6'52""56 E","45,7042; 10,1146"
017170,Salò,"45°36'34""20 N","10°31'55""20 E","45,6095; 10,532"
017171,San Felice del Benaco,"45°35'25""44 N","10°33'9""72 E","45,5904; 10,5527"
017172,San Gervasio Bresciano,"45°18'29""88 N","10°8'58""92 E","45,3083; 10,1497"
017173,San Zeno Naviglio,"45°29'36""60 N","10°13'10""20 E","45,4935; 10,2195"
017174,Sarezzo,"45°39'45""36 N","10°11'49""20 E","45,6626; 10,197"
017175,Saviore dell'Adamello,"46°4'53""04 N","10°24'2""52 E","46,0814; 10,4007"
017176,Sellero,"46°3'21""96 N","10°20'52""44 E","46,0561; 10,3479"
017177,Seniga,"45°14'36""96 N","10°10'44""40 E","45,2436; 10,179"
017178,Serle,"45°34'16""32 N","10°22'1""56 E","45,5712; 10,3671"
017179,Sirmione,"45°28'10""20 N","10°36'22""32 E","45,4695; 10,6062"
017180,Soiano del Lago,"45°31'43""32 N","10°30'49""32 E","45,5287; 10,5137"
017181,Sonico,"46°9'59""04 N","10°21'14""04 E","46,1664; 10,3539"
017182,Sulzano,"45°41'28""68 N","10°6'7""20 E","45,6913; 10,102"
017183,Tavernole sul Mella,"45°44'52""44 N","10°14'29""76 E","45,7479; 10,2416"
017184,Temù,"46°14'58""56 N","10°28'8""40 E","46,2496; 10,469"
017185,Tignale,"45°44'28""68 N","10°43'24""60 E","45,7413; 10,7235"
017186,Torbole Casaglia,"45°30'48""60 N","10°6'59""40 E","45,5135; 10,1165"
017187,Toscolano-Maderno,"45°38'7""44 N","10°36'33""84 E","45,6354; 10,6094"
017188,Travagliato,"45°31'12""00 N","10°4'53""40 E","45,52; 10,0815"
017189,Tremosine sul Garda,"45°46'20""64 N","10°45'31""68 E","45,7724; 10,7588"
017190,Trenzano,"45°28'41""52 N","10°0'42""12 E","45,4782; 10,0117"
017191,Treviso Bresciano,"45°42'49""68 N","10°27'44""64 E","45,7138; 10,4624"
017192,Urago d'Oglio,"45°31'0""84 N","09°52'14""52 E","45,5169; 9,8707"
017193,Vallio Terme,"45°36'38""52 N","10°23'54""24 E","45,6107; 10,3984"
017194,Valvestino,"45°45'41""76 N","10°35'47""40 E","45,7616; 10,5965"
017195,Verolanuova,"45°19'44""76 N","10°4'36""84 E","45,3291; 10,0769"
017196,Verolavecchia,"45°19'40""80 N","10°3'29""52 E","45,328; 10,0582"
017197,Vestone,"45°42'35""28 N","10°24'3""24 E","45,7098; 10,4009"
017198,Vezza d'Oglio,"46°14'20""04 N","10°23'53""16 E","46,2389; 10,3981"
017199,Villa Carcina,"45°37'49""08 N","10°11'51""00 E","45,6303; 10,1975"
017200,Villachiara,"45°21'22""68 N","09°55'55""20 E","45,3563; 9,932"
017201,Villanuova sul Clisi,"45°36'3""96 N","10°27'13""68 E","45,6011; 10,4538"
017202,Vione,"46°14'57""48 N","10°26'53""52 E","46,2493; 10,4482"
017203,Visano,"45°19'9""48 N","10°22'24""24 E","45,3193; 10,3734"
017204,Vobarno,"45°38'27""60 N","10°30'16""20 E","45,641; 10,5045"
017205,Zone,"45°45'51""48 N","10°7'0""84 E","45,7643; 10,1169"
017206,Piancogno,"45°55'14""16 N","10°13'34""68 E","45,9206; 10,2263"
